dummy,ll1,ll2,ll3,ll4,ll5,ll6,ll7,ll8,ll9,ll10,ll11,ll12,ll13,ll14
tt70,107163,16547,9913,28768,22178,107163,108337,116051,81262,37031,29841,12127,68979,102971
tt71,108767,21674,9771,26730,21625,108767,112338,119206,84618,42638,32564,10465,75317,101628
tt72,111135,26856,9582,26052,21858,111135,115350,122613,85518,46321,35429,9868,79824,99596
tt73,111801,31838,9586,26734,22205,111801,117627,127798,82569,47494,39329,9899,83741,97388
tt74,111813,37290,9573,25970,21966,111813,119747,134245,78926,50022,41500,9946,88218,98029
tt75,112228,43051,9557,24336,21381,112228,123275,140935,76308,52997,43736,10001,85717,101109
tt76,112862,48750,9536,22743,21045,112862,126849,146588,74522,55190,45585,10288,83095,104467
tt77,113556,55687,9833,21528,21793,113556,130584,151586,73461,59205,46336,11957,81233,107933
tt78,114752,64514,12206,23338,24828,114752,135215,158185,74760,63530,48511,15602,79853,113002
tt79,129213,71712,26783,42744,43966,129213,148494,171755,86886,76801,62948,30155,92298,127682
tt80,116427,49159,25409,43351,45430,116427,154493,176631,90716,66987,65165,26934,104750,134744
tt81,115508,27443,23208,47606,51194,115508,149681,166558,78212,43029,48621,32551,107287,133843
tt82,119704,22704,22390,51224,53265,119704,156323,157243,71407,32116,40076,34182,116056,143067
tt83,111520,26453,26696,59401,56194,111520,150784,140899,61251,22879,29135,39736,111272,138701
tt84,94247,36212,34598,65683,61492,94247,146878,133032,58958,28243,26928,50603,112846,138518
tt85,79003,38271,35569,65059,60987,79003,141121,127630,56609,29561,29161,41275,116377,140893
tt86,68800,35415,34358,62593,59015,68800,139553,119579,53726,25650,27983,35731,117868,143521
tt87,66940,36047,34949,62977,59268,66940,146778,112688,54265,26283,30490,45053,121417,151132
tt88,75228,31545,31966,62019,55483,75228,158252,115786,58396,24077,30195,45431,126998,160170
tt89,95195,30686,33214,63953,52494,95195,173813,134379,72693,23655,29050,42625,134002,167794
tt90,110247,25846,29985,63554,44916,110247,181616,151347,85026,28980,23619,35585,138181,168845
tt91,105901,20780,23336,49208,39421,105901,175874,150224,77466,33568,20746,29173,130700,158897
tt92,111214,24176,20765,36348,37470,111214,181112,156084,77550,40474,23445,26596,135979,160379
tt93,105547,20232,9118,23413,24109,105547,176700,152427,67347,34828,15404,11697,132393,152692
tt94,122273,23638,10012,22164,25416,122273,177288,154038,65803,37784,19630,10924,134733,150696
tt95,119174,26448,9854,18378,24442,119174,181941,158802,68003,41642,24392,10049,135200,151431
tt96,117581,28865,9796,15880,23539,117581,187427,163696,70003,44261,26946,10227,135836,151877
tt97,116118,31222,10283,14910,23097,116118,193060,167753,71406,44890,30403,11452,142966,152285
tt98,114723,33625,9827,14047,23151,114723,197938,171479,73677,45826,36006,10853,145897,152744
tt99,115384,36195,9726,12875,23364,115384,201989,175020,73459,50186,41979,10007,145203,153265
tt100,117675,38881,9637,11894,23628,117675,206045,177123,68356,56502,46432,9863,145206,153814
tt101,120741,42182,9827,10661,24068,120741,209498,179197,65445,59532,49324,11357,146088,154168
tt102,121292,47267,12160,12574,26474,121292,211753,182156,67195,63271,52095,15483,148361,155793
tt103,131594,57159,27146,27937,44961,131594,222827,193193,79738,77666,67421,28480,160839,166209
tt104,114364,40652,24748,26905,45657,114364,224109,196625,81325,66934,68095,27907,162173,169404
tt105,102108,25194,23185,29170,49936,102108,204976,185885,67813,42302,52986,35191,157259,164705
tt106,84396,23995,21480,33078,47180,84396,197573,175275,61742,27704,41947,37883,167188,169265
tt107,58097,29141,22950,45561,45109,58097,186047,155982,51796,23428,28256,43598,167256,162274
tt108,45669,37884,31779,59185,43389,45669,181041,144701,48427,32591,27249,53969,166781,155718
tt109,40214,39678,32600,57694,37790,40214,176823,137870,46894,35069,36151,56708,165315,152636
tt110,34900,37300,31230,51335,38415,34900,172424,130857,43376,31842,36624,51493,161282,152523
tt111,36234,38704,32452,49626,38032,36234,170898,125996,42660,30745,34898,49148,157887,159150
tt112,46921,35865,30280,45855,35203,46921,175480,130898,47339,24430,29810,45874,160646,167212
tt113,69583,34434,29827,44346,39334,69583,195409,149200,62182,23527,27855,42641,169931,174161
tt114,85353,28163,27464,40046,39495,85353,210780,164484,71384,32008,23356,35379,177759,174251
tt115,79771,21378,23649,31024,38994,79771,207429,160866,64545,37461,20600,28889,173017,163318
tt116,84509,22428,20875,23622,38118,84509,212724,164285,65823,44524,23817,25988,179132,162314
tt117,80540,18994,9101,8561,24985,80540,208309,158182,54174,37083,16661,13116,176672,149562
tt118,100893,23618,9878,12112,26322,100893,208675,156758,52432,39381,19863,14349,180316,142170
tt119,102588,27004,9749,20560,25848,102588,210564,157743,53822,43215,23124,12628,187235,138093
tt120,103177,29859,9726,27230,25657,103177,210464,158663,56468,44700,26795,10848,193784,134388
tt121,101477,32767,9732,32403,24993,101477,210106,159145,60816,46773,29802,9883,199073,130411
tt122,99280,35713,9696,38508,24134,99280,211240,159349,63770,50607,31955,9785,202892,125524
tt123,97231,38728,9620,46153,23062,97231,213859,159382,65632,52398,37193,9772,206485,120079
tt124,95727,42877,9610,55148,22500,95727,216809,158635,66292,54399,42816,9759,212149,114464
tt125,94687,48729,9923,60922,22847,94687,219042,157781,63578,57125,45781,10197,216227,111344
tt126,93599,57582,12283,64777,25304,93599,220553,158568,61992,61003,48604,12427,219164,111255
tt127,104829,65717,26945,67149,44571,104829,230817,167146,76756,74518,61934,27138,230460,121010
tt128,89195,43724,24834,45692,48250,89195,226134,168118,80827,65094,62404,27691,233448,125140
tt129,77700,25618,23262,27732,55970,77700,195757,154434,74427,43491,47736,34482,208957,122760
tt130,62729,25685,21874,21423,57543,62729,178802,142381,72188,31996,39490,38646,188447,130534
tt131,42134,29865,24053,22776,59520,42134,163285,122076,59487,23278,28046,45451,169083,127523
tt132,35199,38158,31587,31046,64206,35199,152939,109535,55357,26335,26712,53723,157984,127824
tt133,31354,39657,32039,32450,61533,31354,147290,103221,52275,26282,30654,54185,151412,129400
tt134,25947,37237,28871,31066,56978,25947,145550,98826,49754,21443,34262,51948,143363,129691
tt135,24745,38757,28975,33149,54711,24745,148740,99729,50715,21092,37875,52599,139229,131781
tt136,29192,33986,26990,33172,50264,29192,154501,104938,54950,21503,36945,48148,139479,135127
tt137,40493,31626,27449,35114,47532,40493,167028,121252,62847,28950,36209,41868,153914,141320
tt138,52466,25561,24784,33719,41934,52466,174582,136616,66371,35495,30223,32184,172599,143066
tt139,52620,21146,21653,29372,38451,52620,165707,133880,59953,34559,21946,26682,175798,134007
tt140,66527,21185,20829,24333,36722,66527,167730,138075,59038,39117,23104,25101,186351,134376
tt141,68565,15013,9151,8658,23043,68565,160272,132252,48273,32671,23270,10331,182636,122051
tt142,81544,19284,9994,9856,24924,81544,158469,131357,45956,35333,30279,10086,182961,115367
tt143,79724,23383,9834,12729,25978,79724,158145,132991,46427,38727,29315,9878,182669,114155
tt144,79971,26986,9712,14009,27288,79971,156161,134467,46058,41273,30116,9810,178838,115406
tt145,79775,30418,9654,14587,27692,79775,153927,135515,45831,44876,31368,9775,178272,116790
tt146,79061,34095,9698,17382,27407,79061,150705,136501,46428,47130,31316,9635,177033,117010
tt147,79240,38031,9689,20569,27038,79240,147149,137522,49049,46268,32506,9669,176285,116693
tt148,81020,41914,9676,21379,26989,81020,143466,135624,50831,44014,36296,9970,177010,116380
tt149,83680,46144,10013,22615,27333,83680,141869,132325,52191,44115,40424,10015,173785,115884
tt150,84613,52632,12348,27618,29674,84613,143764,130388,54649,47680,43416,12384,176718,116642
tt151,96557,62689,26952,39733,47886,96557,154974,139950,67164,61934,62299,28369,187535,126862
tt152,81251,48462,25026,27932,49279,81251,154630,144803,70279,61939,66766,31378,187468,131518
tt153,77674,29550,23419,26259,54068,77674,138612,141402,64543,49547,52811,38267,172184,130628
tt154,80646,23182,22262,29216,54126,80646,132712,146579,66491,42041,41920,40865,160234,140295
tt155,73966,25846,25823,34114,55800,73966,118489,142175,58411,29545,29559,44575,145643,138313
tt156,70749,37874,34831,43523,60544,70749,112746,139502,55793,26286,26816,52396,129647,135562
tt157,68649,39443,34405,46906,58242,68649,108688,135466,52569,26587,28598,53264,109435,131957
tt158,74165,35476,31494,46081,53739,74165,104711,130277,51225,23797,32438,53490,110821,128344
tt159,87418,35468,31574,47801,51866,87418,105649,127113,52911,23799,38842,53804,118552,127689
tt160,81640,32121,29017,46479,47894,81640,112226,127242,58118,21391,38219,47171,121304,129012
tt161,92388,31509,30403,45942,46365,92388,120796,134693,66743,23357,37613,42524,122604,132604
tt162,100851,26265,27368,42347,42502,100851,121006,139480,69527,25257,29169,34280,124261,129922
tt163,92854,21577,22356,37417,40828,92854,108898,133019,61977,28000,21620,29020,116895,118033
