ll1.S1.TT10  32.2
ll1.S1.TT11  231.4
ll1.S1.TT12  358.5
ll1.S1.TT13  335.8
ll1.S1.TT14  301.5
ll1.S1.TT15  218.7
ll1.S1.TT16  18.2
ll1.S1.TT33  0.3
ll1.S1.TT34  300.3
ll1.S1.TT35  532.6
ll1.S1.TT36  808.1
ll1.S1.TT37  806.3
ll1.S1.TT38  745
ll1.S1.TT39  537.1
ll1.S1.TT40  259.1
ll1.S1.TT57  0.3
ll1.S1.TT58  296.9
ll1.S1.TT59  527.4
ll1.S1.TT60  917.4
ll1.S1.TT61  1070.6
ll1.S1.TT62  987
ll1.S1.TT63  767.2
ll1.S1.TT64  337.3
ll1.S1.TT82  35
ll1.S1.TT83  239.4
ll1.S1.TT84  1008.6
ll1.S1.TT85  1226.1
ll1.S1.TT86  1031.9
ll1.S1.TT87  887.8
ll1.S1.TT88  455.6
ll1.S1.TT89  0.3
ll1.S1.TT105  1.9
ll1.S1.TT106  529.2
ll1.S1.TT107  886.3
ll1.S1.TT108  1167
ll1.S1.TT109  1246.6
ll1.S1.TT110  1158.9
ll1.S1.TT111  859.8
ll1.S1.TT112  460.4
ll1.S1.TT129  1.8
ll1.S1.TT130  495.6
ll1.S1.TT131  522.8
ll1.S1.TT132  736.3
ll1.S1.TT133  777.9
ll1.S1.TT134  715.2
ll1.S1.TT135  566.9
ll1.S1.TT136  266.1
ll1.S1.TT137  0.1
ll1.S1.TT153  0.1
ll1.S1.TT154  125.7
ll1.S1.TT155  232.5
ll1.S1.TT156  359.9
ll1.S1.TT157  350.8
ll1.S1.TT158  319
ll1.S1.TT159  373.8
ll1.S1.TT160  236.5
ll1.S1.TT161  0.1
ll1.S1.TT178  35.5
ll1.S1.TT179  238.1
ll1.S1.TT180  369.8
ll1.S1.TT181  348.7
ll1.S1.TT182  316.1
ll1.S1.TT183  241.9
ll1.S1.TT184  30.7
ll1.S1.TT202  37.2
ll1.S1.TT203  237.7
ll1.S1.TT204  321.6
ll1.S1.TT205  360.3
ll1.S1.TT206  325.2
ll1.S1.TT207  236.2
ll1.S1.TT208  32.5
ll1.S1.TT225  0.1
ll1.S1.TT226  274.8
ll1.S1.TT227  625
ll1.S1.TT228  803.8
ll1.S1.TT229  860.4
ll1.S1.TT230  802.6
ll1.S1.TT231  923.9
ll1.S1.TT232  541.7
ll1.S1.TT233  3.7
ll1.S1.TT249  5.2
ll1.S1.TT250  566.1
ll1.S1.TT251  940.3
ll1.S1.TT252  1216.2
ll1.S1.TT253  1156.8
ll1.S1.TT254  1008.9
ll1.S1.TT255  774.6
ll1.S1.TT256  374.2
ll1.S1.TT257  0.4
ll1.S1.TT273  5
ll1.S1.TT274  555.6
ll1.S1.TT275  918
ll1.S1.TT276  1210.5
ll1.S1.TT277  1287.1
ll1.S1.TT278  1210
ll1.S1.TT279  900.3
ll1.S1.TT280  534.7
ll1.S1.TT281  5.8
ll1.S1.TT297  5.8
ll1.S1.TT298  549.3
ll1.S1.TT299  896.2
ll1.S1.TT300  1173.9
ll1.S1.TT301  1251.1
ll1.S1.TT302  1178.8
ll1.S1.TT303  852.8
ll1.S1.TT304  517.7
ll1.S1.TT305  7.7
ll1.S1.TT321  6.2
ll1.S1.TT322  553.7
ll1.S1.TT323  886.3
ll1.S1.TT324  980.9
ll1.S1.TT325  838.1
ll1.S1.TT326  335.9
ll1.S1.TT327  268.4
ll1.S1.TT328  51
ll1.S1.TT329  0.1
ll1.S1.TT345  7.6
ll1.S1.TT346  574.3
ll1.S1.TT347  951
ll1.S1.TT348  1244.3
ll1.S1.TT349  1321.9
ll1.S1.TT350  1241.6
ll1.S1.TT351  934.1
ll1.S1.TT352  579.4
ll1.S1.TT353  15.6
ll1.S1.TT369  9.2
ll1.S1.TT370  586.2
ll1.S1.TT371  967
ll1.S1.TT372  1264.6
ll1.S1.TT373  1334.7
ll1.S1.TT374  1251.7
ll1.S1.TT375  944.1
ll1.S1.TT376  593.2
ll1.S1.TT377  21.8
ll1.S1.TT393  10.6
ll1.S1.TT394  608.6
ll1.S1.TT395  969.9
ll1.S1.TT396  1264.4
ll1.S1.TT397  1321.4
ll1.S1.TT398  1225.7
ll1.S1.TT399  933.1
ll1.S1.TT400  590.4
ll1.S1.TT401  24.2
ll1.S1.TT417  10.6
ll1.S1.TT418  578.6
ll1.S1.TT419  941.1
ll1.S1.TT420  1244.9
ll1.S1.TT421  1336.8
ll1.S1.TT422  1269.5
ll1.S1.TT423  954.5
ll1.S1.TT424  598.6
ll1.S1.TT425  48.3
ll1.S1.TT441  0.3
ll1.S1.TT442  288.5
ll1.S1.TT443  636.9
ll1.S1.TT444  818.9
ll1.S1.TT445  879.5
ll1.S1.TT446  825.6
ll1.S1.TT447  567.3
ll1.S1.TT448  212.2
ll1.S1.TT449  0.3
ll1.S1.TT465  0.1
ll1.S1.TT466  59.1
ll1.S1.TT467  305.1
ll1.S1.TT468  550.2
ll1.S1.TT469  761.6
ll1.S1.TT470  827.1
ll1.S1.TT471  810.3
ll1.S1.TT472  585.1
ll1.S1.TT473  22.5
ll1.S1.TT489  0.1
ll1.S1.TT490  62.7
ll1.S1.TT491  304.1
ll1.S1.TT492  406
ll1.S1.TT493  387
ll1.S1.TT494  360.6
ll1.S1.TT495  279.5
ll1.S1.TT496  90.9
ll1.S1.TT497  0.4
ll1.S1.TT513  0.1
ll1.S1.TT514  69.1
ll1.S1.TT515  313.3
ll1.S1.TT516  418.4
ll1.S1.TT517  401.6
ll1.S1.TT518  375
ll1.S1.TT519  291.3
