Technology,purchase_cost,footprint,powerRating,derate,tilt,azimuth,include,AR1,AR2,max_systems,weight,volume
S1,2000,9.164303813,1.6,0.77,,,1,1,0,75,145,9.1
S2,3000,13,2.1,0.8,30,180,0,0,1,50,100,1.5
